year,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m,year.sum,rank
1990,0,0,0,0,0,0.2,5.2,10.8,0.2,0,0,0,16.4,5
1991,0,0,0,0,0.1,0.3,1,2.2,0.1,0,0,0,3.7,29
1992,0,0,0,0,0,0.1,4.7,1,0.1,0,0,0,6,26
1993,0,0,0,0,0,0,0,0,0,0,0,0,0.1,33
1994,0,0,0,0,0,0.9,17.7,9.8,1.2,0,0,0,29.6,2
1995,0,0,0,0,0,0,2.7,7.7,0,0,0,0,10.4,19
1996,0,0,0,0,0,0.2,5.2,10.3,0,0,0,0,15.7,6
1997,0,0,0,0,0,1.5,5.6,3.9,0.9,0,0,0,11.9,13
1998,0,0,0,0,0,0,0.6,1,0.7,0,0,0,2.5,31
1999,0,0,0,0,0,0.9,1.1,3.1,0,0,0,0,5.2,28
2000,0,0,0,0,0.5,1.6,4.7,4.3,0.1,0,0,0,11.1,17
2001,0,0,0,0,0.1,1.1,4.7,5.7,0,0,0,0,11.6,15
2002,0,0,0,0,0,0.6,2.9,1.7,0.2,0,0,0,5.4,27
2003,0,0,0,0,0,0,0,1.1,0.1,0,0,0,1.3,32
2004,0,0,0,0,0.1,0.8,6.2,7.8,0,0,0,0,14.8,7
2005,0,0,0,0.1,0,1.3,3.9,3.9,0.6,0,0,0,9.7,20
2006,0,0,0,0,0,0.2,1.4,11.9,0,0,0,0,13.5,9
2007,0,0,0,0,0,0.6,1.6,6.5,0.1,0,0,0,8.9,22
2008,0,0,0,0,0.1,0.1,6.3,4.3,0.4,0,0,0,11.2,16
2009,0,0,0,0,0.1,1.3,0.3,1.9,0.1,0,0,0,3.6,30
2010,0,0,0,0,0,0.6,2.9,7.5,1.3,0,0,0,12.2,12
2011,0,0,0,0,0,0.7,2.3,2.5,0.8,0,0,0,6.5,25
2012,0,0,0,0,0,0.3,5.6,8.1,0,0,0,0,14,8
2013,0,0,0,0,0.2,0.3,4,12.1,0,0,0,0,16.6,4
2014,0,0,0,0,1.1,0.2,4.5,0.9,0,0,0,0,6.6,24
2015,0,0,0,0,0.4,0.5,3.1,5.7,0,0,0,0,9.6,21
2016,0,0,0,0,0,0.1,5.1,16.6,0,0,0,0,22,3
2017,0,0,0,0,0.4,1.7,5.9,5.6,0,0,0,0,13.5,9
2018,0,0,0,0,0,1.5,15.4,14.1,0,0,0,0,31,1
2019,0,0,0,0,0.5,0.5,3,9,0,0,0,0,13.1,11
2020,0,0,0,0,0,1.9,0.1,5.7,0,0,0,0,7.7,23
2021,0,0,0,0,0,0.1,8.1,3.5,0,0,0,0,11.8,14
2022,0,0,0,0,0.2,1.6,5.8,2.9,0.2,0,0,0,10.6,18
